PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [00000693] X13=00000000 X00=00000000 X00=00000000 addi    a3,zero,0
PC=000001D8 [00000713] X14=00000000 X00=00000000 X00=00000000 addi    a4,zero,0
PC=000001DC [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=000001E0 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=000001E4 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001E8 [FEF42223] X04=00000000 X08=00500000 X15=00000001 sw      a5,-28(s0/fp)
PC=000001EC [FE442783] X15=00000001 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=000001F0 [FEF42423] X08=00500000 X08=00500000 X15=00000001 sw      a5,-24(s0/fp)
PC=000001F4 [41F7D793] X15=00000000 X15=00000001 X31=00000000 srai    a5,a5,31
PC=000001F8 [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000001FC [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000200 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=00000204 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000208 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-28(s0/fp)
PC=0000020C [FE442783] X15=FFFFFFFF X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=00000210 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=00000214 [41F7D793] X15=FFFFFFFF X15=FFFFFFFF X31=00000000 srai    a5,a5,31
PC=00000218 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=0000021C [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000220 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=00000224 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=00000228 [FEF42223] X04=00000000 X08=00500000 X15=80000000 sw      a5,-28(s0/fp)
PC=0000022C [FE442783] X15=80000000 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=00000230 [FEF42423] X08=00500000 X08=00500000 X15=80000000 sw      a5,-24(s0/fp)
PC=00000234 [41F7D793] X15=FFFFFFFF X15=80000000 X31=00000000 srai    a5,a5,31
PC=00000238 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=0000023C [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000240 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=00000244 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=00000248 [FFF7C793] X15=7FFFFFFF X15=80000000 X31=00000000 xori    a5,a5,-1
PC=0000024C [FEF42223] X04=00000000 X08=00500000 X15=7FFFFFFF sw      a5,-28(s0/fp)
PC=00000250 [FE442783] X15=7FFFFFFF X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=00000254 [FEF42423] X08=00500000 X08=00500000 X15=7FFFFFFF sw      a5,-24(s0/fp)
PC=00000258 [41F7D793] X15=00000000 X15=7FFFFFFF X31=00000000 srai    a5,a5,31
PC=0000025C [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000260 [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000264 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=00000268 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=0000026C [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000270 [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=00000274 [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=00000278 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
