PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=000001DC [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001E0 [FEF42423] X08=00500000 X08=00500000 X15=00000001 sw      a5,-24(s0/fp)
PC=000001E4 [FEC42703] X14=FFFFFFFF X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000001E8 [FE842783] X15=00000001 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000001EC [02F757B3] X15=FFFFFFFF X14=FFFFFFFF X15=00000001 divu    a5,a4,a5
PC=000001F0 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-28(s0/fp)
PC=000001F4 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000001F8 [00F00793] X15=0000000F X00=00000000 X15=FFFFFFFF addi    a5,zero,15
PC=000001FC [FEF42623] X12=00000000 X08=00500000 X15=0000000F sw      a5,-20(s0/fp)
PC=00000200 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=00000204 [FEF42423] X08=00500000 X08=00500000 X15=00000003 sw      a5,-24(s0/fp)
PC=00000208 [FEC42703] X14=0000000F X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=0000020C [FE842783] X15=00000003 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000210 [02F757B3] X15=00000005 X14=0000000F X15=00000003 divu    a5,a4,a5
PC=00000214 [FEF42223] X04=00000000 X08=00500000 X15=00000005 sw      a5,-28(s0/fp)
PC=00000218 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=0000021C [AAAAB7B7] X15=AAAAB000 X21=00000000 X10=00000000 lui     a5,2863312896
PC=00000220 [AAA78793] X15=AAAAAAAA X15=AAAAB000 X10=00000000 addi    a5,a5,-1366
PC=00000224 [FEF42623] X12=00000000 X08=00500000 X15=AAAAAAAA sw      a5,-20(s0/fp)
PC=00000228 [555557B7] X15=55555000 X10=00000000 X21=00000000 lui     a5,1431654400
PC=0000022C [55578793] X15=55555555 X15=55555000 X21=00000000 addi    a5,a5,1365
PC=00000230 [FEF42423] X08=00500000 X08=00500000 X15=55555555 sw      a5,-24(s0/fp)
PC=00000234 [FEC42703] X14=AAAAAAAA X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000238 [FE842783] X15=55555555 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=0000023C [02F757B3] X15=00000002 X14=AAAAAAAA X15=55555555 divu    a5,a4,a5
PC=00000240 [FEF42223] X04=00000000 X08=00500000 X15=00000002 sw      a5,-28(s0/fp)
PC=00000244 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000248 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=0000024C [FFF7C793] X15=7FFFFFFF X15=80000000 X31=00000000 xori    a5,a5,-1
PC=00000250 [FEF42623] X12=00000000 X08=00500000 X15=7FFFFFFF sw      a5,-20(s0/fp)
PC=00000254 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000258 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=0000025C [FEC42703] X14=7FFFFFFF X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000260 [FE842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000264 [02F757B3] X15=00000000 X14=7FFFFFFF X15=FFFFFFFF divu    a5,a4,a5
PC=00000268 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=0000026C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000270 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000274 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=00000278 [FEF42423] X08=00500000 X08=00500000 X15=80000000 sw      a5,-24(s0/fp)
PC=0000027C [FEC42703] X14=00000000 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000280 [FE842783] X15=80000000 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000284 [02F757B3] X15=00000000 X14=00000000 X15=80000000 divu    a5,a4,a5
PC=00000288 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=0000028C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000290 [03000793] X15=00000030 X00=00000000 X16=00000000 addi    a5,zero,48
PC=00000294 [FEF42623] X12=00000000 X08=00500000 X15=00000030 sw      a5,-20(s0/fp)
PC=00000298 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=0000029C [FEF42423] X08=00500000 X08=00500000 X15=00000005 sw      a5,-24(s0/fp)
PC=000002A0 [FEC42703] X14=00000030 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000002A4 [FE842783] X15=00000005 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002A8 [02F757B3] X15=00000009 X14=00000030 X15=00000005 divu    a5,a4,a5
PC=000002AC [FEF42223] X04=00000000 X08=00500000 X15=00000009 sw      a5,-28(s0/fp)
PC=000002B0 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000002B4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002B8 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=000002BC [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002C0 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=000002C4 [FEC42703] X14=FFFFFFFF X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000002C8 [FE842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002CC [02F757B3] X15=00000001 X14=FFFFFFFF X15=FFFFFFFF divu    a5,a4,a5
PC=000002D0 [FEF42223] X04=00000000 X08=00500000 X15=00000001 sw      a5,-28(s0/fp)
PC=000002D4 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000002D8 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000002DC [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFE sw      a5,-20(s0/fp)
PC=000002E0 [01000793] X15=00000010 X00=00000000 X16=00000000 addi    a5,zero,16
PC=000002E4 [FEF42423] X08=00500000 X08=00500000 X15=00000010 sw      a5,-24(s0/fp)
