PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FD010113] X02=004FFFD0 X02=00500000 X16=00000000 addi    sp,sp,-48
PC=000001CC [02812623] X12=00000000 X02=004FFFD0 X08=00000000 sw      s0/fp,44(sp)
PC=000001D0 [03010413] X08=00500000 X02=004FFFD0 X16=00000000 addi    s0/fp,sp,48
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF41723] X14=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=000001DC [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001E0 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-20(s0/fp)
PC=000001E4 [FEE45703] X14=0000FFFF X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=000001E8 [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000001EC [00F767B3] X15=0000FFFF X14=0000FFFF X15=0000FFFF or      a5,a4,a5
PC=000001F0 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=000001F4 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000001F8 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=000001FC [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000200 [00F777B3] X15=0000FFFF X14=0000FFFF X15=0000FFFF and     a5,a4,a5
PC=00000204 [FEF41423] X08=00500000 X08=00500000 X15=0000FFFF sh      a5,-24(s0/fp)
PC=00000208 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=0000020C [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000210 [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000214 [00F747B3] X15=00000000 X14=0000FFFF X15=0000FFFF xor     a5,a4,a5
PC=00000218 [FEF41323] X06=00000000 X08=00500000 X15=00000000 sh      a5,-26(s0/fp)
PC=0000021C [FE041323] X06=00000000 X08=00500000 X00=00000000 sh      zero,-26(s0/fp)
PC=00000220 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000224 [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000228 [00F767B3] X15=0000FFFF X14=0000FFFF X15=0000FFFF or      a5,a4,a5
PC=0000022C [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=00000230 [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=00000234 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=00000238 [FEF41223] X04=00000000 X08=00500000 X15=FFFF0000 sh      a5,-28(s0/fp)
PC=0000023C [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=00000240 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000244 [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000248 [00F777B3] X15=0000FFFF X14=0000FFFF X15=0000FFFF and     a5,a4,a5
PC=0000024C [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=00000250 [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=00000254 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=00000258 [FEF41123] X02=004FFFD0 X08=00500000 X15=FFFF0000 sh      a5,-30(s0/fp)
PC=0000025C [FE041123] X02=004FFFD0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=00000260 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000264 [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000268 [00F747B3] X15=00000000 X14=0000FFFF X15=0000FFFF xor     a5,a4,a5
PC=0000026C [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=00000270 [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=00000274 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=00000278 [FEF41023] X00=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-32(s0/fp)
PC=0000027C [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=00000280 [FEE45783] X15=0000FFFF X08=00500000 X14=0000FFFF lhu     a5,-18(s0/fp)
PC=00000284 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=00000288 [FCF41F23] X30=00000000 X08=00500000 X15=FFFF0000 sh      a5,-34(s0/fp)
PC=0000028C [FC041F23] X30=00000000 X08=00500000 X00=00000000 sh      zero,-34(s0/fp)
PC=00000290 [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000294 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=00000298 [FCF41E23] X28=00000000 X08=00500000 X15=FFFF0000 sh      a5,-36(s0/fp)
PC=0000029C [FC041E23] X28=00000000 X08=00500000 X00=00000000 sh      zero,-36(s0/fp)
PC=000002A0 [000017B7] X15=00001000 X00=00000000 X00=00000000 lui     a5,4096
PC=000002A4 [F0F78793] X15=00000F0F X15=00001000 X15=00001000 addi    a5,a5,-241
PC=000002A8 [FEF41723] X14=0000FFFF X08=00500000 X15=00000F0F sh      a5,-18(s0/fp)
PC=000002AC [FFFFF7B7] X15=FFFFF000 X31=00000000 X31=00000000 lui     a5,4294963200
PC=000002B0 [0F078793] X15=FFFFF0F0 X15=FFFFF000 X16=00000000 addi    a5,a5,240
PC=000002B4 [FEF41623] X12=00000000 X08=00500000 X15=FFFFF0F0 sh      a5,-20(s0/fp)
PC=000002B8 [FEE45703] X14=00000F0F X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=000002BC [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002C0 [00F767B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 or      a5,a4,a5
PC=000002C4 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=000002C8 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000002CC [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=000002D0 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002D4 [00F777B3] X15=00000000 X14=00000F0F X15=0000F0F0 and     a5,a4,a5
PC=000002D8 [FEF41423] X08=00500000 X08=00500000 X15=00000000 sh      a5,-24(s0/fp)
PC=000002DC [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=000002E0 [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=000002E4 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002E8 [00F747B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 xor     a5,a4,a5
PC=000002EC [FEF41323] X06=00000000 X08=00500000 X15=0000FFFF sh      a5,-26(s0/fp)
PC=000002F0 [FE041323] X06=00000000 X08=00500000 X00=00000000 sh      zero,-26(s0/fp)
PC=000002F4 [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=000002F8 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002FC [00F767B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 or      a5,a4,a5
PC=00000300 [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
