PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [F5010113] X02=004FFF50 X02=00500000 X16=00000000 addi    sp,sp,-176
PC=000001CC [0A812623] X12=00000000 X02=004FFF50 X08=00000000 sw      s0/fp,172(sp)
PC=000001D0 [0B212423] X08=00000000 X02=004FFF50 X18=00000000 sw      s2,168(sp)
PC=000001D4 [0B312223] X04=00000000 X02=004FFF50 X19=00000000 sw      s3,164(sp)
PC=000001D8 [0B412023] X00=00000000 X02=004FFF50 X20=00000000 sw      s4,160(sp)
PC=000001DC [09512E23] X28=00000000 X02=004FFF50 X21=00000000 sw      s5,156(sp)
PC=000001E0 [09612C23] X24=00000000 X02=004FFF50 X22=00000000 sw      s6,152(sp)
PC=000001E4 [09712A23] X20=00000000 X02=004FFF50 X23=00000000 sw      s7,148(sp)
PC=000001E8 [09812823] X16=00000000 X02=004FFF50 X24=00000000 sw      s8,144(sp)
PC=000001EC [09912623] X12=00000000 X02=004FFF50 X25=00000000 sw      s9,140(sp)
PC=000001F0 [09A12423] X08=00000000 X02=004FFF50 X26=00000000 sw      s10,136(sp)
PC=000001F4 [09B12223] X04=00000000 X02=004FFF50 X27=00000000 sw      s11,132(sp)
PC=000001F8 [0B010413] X08=00500000 X02=004FFF50 X16=00000000 addi    s0/fp,sp,176
PC=000001FC [FFF00713] X14=FFFFFFFF X00=00000000 X31=00000000 addi    a4,zero,-1
PC=00000200 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000204 [FCE42423] X08=00500000 X08=00500000 X14=FFFFFFFF sw      a4,-56(s0/fp)
PC=00000208 [FCF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-52(s0/fp)
PC=0000020C [FCC42783] X15=FFFFFFFF X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=00000210 [01F79713] X14=80000000 X15=FFFFFFFF X31=00000000 slli    a4,a5,31
PC=00000214 [FC842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-56(s0/fp)
PC=00000218 [0017D613] X12=7FFFFFFF X15=FFFFFFFF X01=000001C0 srli    a2,a5,1
PC=0000021C [00C76633] X12=FFFFFFFF X14=80000000 X12=7FFFFFFF or      a2,a4,a2
PC=00000220 [FCC42783] X15=FFFFFFFF X08=00500000 X12=FFFFFFFF lw      a5,-52(s0/fp)
PC=00000224 [0017D693] X13=7FFFFFFF X15=FFFFFFFF X01=000001C0 srli    a3,a5,1
PC=00000228 [FCC42423] X08=00500000 X08=00500000 X12=FFFFFFFF sw      a2,-56(s0/fp)
PC=0000022C [FCD42623] X12=FFFFFFFF X08=00500000 X13=7FFFFFFF sw      a3,-52(s0/fp)
PC=00000230 [00000613] X12=00000000 X00=00000000 X00=00000000 addi    a2,zero,0
PC=00000234 [00000693] X13=00000000 X00=00000000 X00=00000000 addi    a3,zero,0
PC=00000238 [FCC42423] X08=00500000 X08=00500000 X12=00000000 sw      a2,-56(s0/fp)
PC=0000023C [FCD42623] X12=00000000 X08=00500000 X13=00000000 sw      a3,-52(s0/fp)
PC=00000240 [FCC42423] X08=00500000 X08=00500000 X12=00000000 sw      a2,-56(s0/fp)
PC=00000244 [FCD42623] X12=00000000 X08=00500000 X13=00000000 sw      a3,-52(s0/fp)
PC=00000248 [FCC42783] X15=00000000 X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=0000024C [01F79713] X14=00000000 X15=00000000 X31=00000000 slli    a4,a5,31
PC=00000250 [FC842783] X15=00000000 X08=00500000 X08=00500000 lw      a5,-56(s0/fp)
PC=00000254 [0017D513] X10=00000000 X15=00000000 X01=000001C0 srli    a0,a5,1
PC=00000258 [00A76533] X10=00000000 X14=00000000 X10=00000000 or      a0,a4,a0
PC=0000025C [FCC42783] X15=00000000 X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=00000260 [0017D593] X11=00000000 X15=00000000 X01=000001C0 srli    a1,a5,1
PC=00000264 [FCA42423] X08=00500000 X08=00500000 X10=00000000 sw      a0,-56(s0/fp)
PC=00000268 [FCB42623] X12=00000000 X08=00500000 X11=00000000 sw      a1,-52(s0/fp)
PC=0000026C [FCC42423] X08=00500000 X08=00500000 X12=00000000 sw      a2,-56(s0/fp)
PC=00000270 [FCD42623] X12=00000000 X08=00500000 X13=00000000 sw      a3,-52(s0/fp)
PC=00000274 [00100713] X14=00000001 X00=00000000 X01=000001C0 addi    a4,zero,1
PC=00000278 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=0000027C [FCE42423] X08=00500000 X08=00500000 X14=00000001 sw      a4,-56(s0/fp)
PC=00000280 [FCF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-52(s0/fp)
PC=00000284 [FCC42783] X15=00000000 X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=00000288 [01F79713] X14=00000000 X15=00000000 X31=00000000 slli    a4,a5,31
PC=0000028C [FC842783] X15=00000001 X08=00500000 X08=00500000 lw      a5,-56(s0/fp)
PC=00000290 [0017D813] X16=00000000 X15=00000001 X01=000001C0 srli    a6,a5,1
PC=00000294 [01076833] X16=00000000 X14=00000000 X16=00000000 or      a6,a4,a6
PC=00000298 [FCC42783] X15=00000000 X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=0000029C [0017D893] X17=00000000 X15=00000000 X01=000001C0 srli    a7,a5,1
PC=000002A0 [FD042423] X08=00500000 X08=00500000 X16=00000000 sw      a6,-56(s0/fp)
PC=000002A4 [FD142623] X12=00000000 X08=00500000 X17=00000000 sw      a7,-52(s0/fp)
PC=000002A8 [FCC42423] X08=00500000 X08=00500000 X12=00000000 sw      a2,-56(s0/fp)
PC=000002AC [FCD42623] X12=00000000 X08=00500000 X13=00000000 sw      a3,-52(s0/fp)
PC=000002B0 [00000713] X14=00000000 X00=00000000 X00=00000000 addi    a4,zero,0
PC=000002B4 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=000002B8 [FCE42423] X08=00500000 X08=00500000 X14=00000000 sw      a4,-56(s0/fp)
PC=000002BC [FCF42623] X12=00000000 X08=00500000 X15=80000000 sw      a5,-52(s0/fp)
PC=000002C0 [FCC42783] X15=80000000 X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=000002C4 [01F79713] X14=00000000 X15=80000000 X31=00000000 slli    a4,a5,31
