PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FD010113] X02=004FFFD0 X02=00500000 X16=00000000 addi    sp,sp,-48
PC=000001CC [02812623] X12=00000000 X02=004FFFD0 X08=00000000 sw      s0/fp,44(sp)
PC=000001D0 [03010413] X08=00500000 X02=004FFFD0 X16=00000000 addi    s0/fp,sp,48
PC=000001D4 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000001D8 [FE0407A3] X15=00000000 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000001DC [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=000001E0 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000001E4 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=000001E8 [00000813] X16=00000000 X00=00000000 X00=00000000 addi    a6,zero,0
PC=000001EC [FEF42023] X00=00000000 X08=00500000 X15=00000000 sw      a5,-32(s0/fp)
PC=000001F0 [FF042223] X04=00000000 X08=00500000 X16=00000000 sw      a6,-28(s0/fp)
PC=000001F4 [FFF00713] X14=FFFFFFFF X00=00000000 X31=00000000 addi    a4,zero,-1
PC=000001F8 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001FC [FCE42C23] X24=00000000 X08=00500000 X14=FFFFFFFF sw      a4,-40(s0/fp)
PC=00000200 [FCF42E23] X28=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-36(s0/fp)
PC=00000204 [FE442703] X14=00000000 X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=00000208 [FDC42783] X15=FFFFFFFF X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=00000210 [00E7EE63] X28=00000000 X15=FFFFFFFF X14=00000000 bltu    a5,a4,28
PC=00000210 [FE442703] X14=00000000 X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=00000214 [FDC42783] X15=FFFFFFFF X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=00000238 [02F71063] X00=00000000 X14=00000000 X15=FFFFFFFF bne     a4,a5,32
PC=00000238 [FEF44783] X15=00000000 X08=00500000 X15=FFFFFFFF lbu     a5,-17(s0/fp)
PC=0000023C [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000240 [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=00000244 [FDC42703] X14=FFFFFFFF X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000248 [FE442783] X15=00000000 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=00000268 [00E7EE63] X28=00000000 X15=00000000 X14=FFFFFFFF bltu    a5,a4,28
PC=00000268 [FED44783] X15=00000000 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=0000026C [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000270 [FEF406A3] X13=00000000 X08=00500000 X15=00000001 sb      a5,-19(s0/fp)
PC=00000274 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000284 [FE042703] X14=00000000 X08=00500000 X00=00000000 lw      a4,-32(s0/fp)
PC=00000288 [FD842783] X15=FFFFFFFF X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=000002AC [02F71063] X00=00000000 X14=00000000 X15=FFFFFFFF bne     a4,a5,32
PC=000002AC [FEF44783] X15=00000001 X08=00500000 X15=FFFFFFFF lbu     a5,-17(s0/fp)
PC=000002B0 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=000002B4 [FEF407A3] X15=00000002 X08=00500000 X15=00000002 sb      a5,-17(s0/fp)
PC=000002B8 [FDC42703] X14=FFFFFFFF X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000002BC [FE442783] X15=00000000 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=000002EC [02E7E663] X12=00000000 X15=00000000 X14=FFFFFFFF bltu    a5,a4,44
PC=000002EC [FEF44783] X15=00000002 X08=00500000 X15=00000000 lbu     a5,-17(s0/fp)
PC=000002F0 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=000002F4 [FEF407A3] X15=00000003 X08=00500000 X15=00000003 sb      a5,-17(s0/fp)
PC=000002F8 [FE442703] X14=00000000 X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=000002FC [FDC42783] X15=FFFFFFFF X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=00000304 [02E7E663] X12=00000000 X15=FFFFFFFF X14=00000000 bltu    a5,a4,44
PC=00000304 [FE442703] X14=00000000 X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=00000308 [FDC42783] X15=FFFFFFFF X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=0000031C [00F71863] X16=00000000 X14=00000000 X15=FFFFFFFF bne     a4,a5,16
PC=0000031C [FED44783] X15=00000001 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=00000320 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000324 [FEF406A3] X13=00000000 X08=00500000 X15=00000002 sb      a5,-19(s0/fp)
PC=00000328 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000338 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=0000033C [FE0407A3] X15=00000002 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000340 [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=00000344 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=00000348 [FFF00713] X14=FFFFFFFF X00=00000000 X31=00000000 addi    a4,zero,-1
PC=0000034C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000350 [FEE42023] X00=00000000 X08=00500000 X14=FFFFFFFF sw      a4,-32(s0/fp)
PC=00000354 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-28(s0/fp)
PC=00000358 [FFE00713] X14=FFFFFFFE X00=00000000 X30=00000000 addi    a4,zero,-2
PC=0000035C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000360 [FCE42C23] X24=00000000 X08=00500000 X14=FFFFFFFE sw      a4,-40(s0/fp)
PC=00000364 [FCF42E23] X28=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-36(s0/fp)
PC=00000368 [FE442703] X14=FFFFFFFF X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=0000036C [FDC42783] X15=FFFFFFFF X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=00000374 [00E7EE63] X28=00000000 X15=FFFFFFFF X14=FFFFFFFF bltu    a5,a4,28
PC=00000374 [FE442703] X14=FFFFFFFF X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=00000378 [FDC42783] X15=FFFFFFFF X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=00000380 [02F71063] X00=00000000 X14=FFFFFFFF X15=FFFFFFFF bne     a4,a5,32
PC=00000380 [FE042703] X14=FFFFFFFF X08=00500000 X00=00000000 lw      a4,-32(s0/fp)
PC=00000384 [FD842783] X15=FFFFFFFE X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=0000038C [00E7FA63] X20=00000000 X15=FFFFFFFE X14=FFFFFFFF bgeu    a5,a4,20
PC=0000038C [FED44783] X15=00000000 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=00000390 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000394 [FEF406A3] X13=00000000 X08=00500000 X15=00000001 sb      a5,-19(s0/fp)
PC=00000398 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=000003A8 [FDC42703] X14=FFFFFFFF X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000003AC [FE442783] X15=FFFFFFFF X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=000003B4 [00E7EE63] X28=00000000 X15=FFFFFFFF X14=FFFFFFFF bltu    a5,a4,28
