PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FC010113] X02=004FFFC0 X02=00500000 X00=00000000 addi    sp,sp,-64
PC=000001CC [02812E23] X28=00000000 X02=004FFFC0 X08=00000000 sw      s0/fp,60(sp)
PC=000001D0 [04010413] X08=00500000 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,64
PC=000001D4 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=000001D8 [00000813] X16=00000000 X00=00000000 X00=00000000 addi    a6,zero,0
PC=000001DC [FEF42423] X08=00500000 X08=00500000 X15=00000000 sw      a5,-24(s0/fp)
PC=000001E0 [FF042623] X12=00000000 X08=00500000 X16=00000000 sw      a6,-20(s0/fp)
PC=000001E4 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=000001E8 [FEF403A3] X07=00000000 X08=00500000 X15=00000005 sb      a5,-25(s0/fp)
PC=000001EC [0340006F] X00=00000000 X00=00000000 X20=00000000 jal     zero,52
PC=00000220 [FE744783] X15=00000005 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000224 [FFF78713] X14=00000004 X15=00000005 X31=00000000 addi    a4,a5,-1
PC=00000228 [FEE403A3] X07=00000000 X08=00500000 X14=00000004 sb      a4,-25(s0/fp)
PC=000001F0 [FC0792E3] X05=00000000 X15=00000005 X00=00000000 bne     a5,zero,-60
PC=000001F0 [FE842603] X12=00000000 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000001F4 [FEC42683] X13=00000000 X08=00500000 X12=00000000 lw      a3,-20(s0/fp)
PC=000001F8 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000001FC [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000200 [00A60733] X14=00000001 X12=00000000 X10=00000001 add     a4,a2,a0
PC=00000204 [00070813] X16=00000001 X14=00000001 X00=00000000 addi    a6,a4,0
PC=00000208 [00C83833] X16=00000000 X16=00000001 X12=00000000 sltu    a6,a6,a2
PC=0000020C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000210 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000214 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000218 [FEE42423] X08=00500000 X08=00500000 X14=00000001 sw      a4,-24(s0/fp)
PC=0000021C [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000220 [FE744783] X15=00000004 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000224 [FFF78713] X14=00000003 X15=00000004 X31=00000000 addi    a4,a5,-1
PC=00000228 [FEE403A3] X07=00000000 X08=00500000 X14=00000003 sb      a4,-25(s0/fp)
PC=000001F0 [FC0792E3] X05=00000000 X15=00000004 X00=00000000 bne     a5,zero,-60
PC=000001F0 [FE842603] X12=00000001 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000001F4 [FEC42683] X13=00000000 X08=00500000 X12=00000001 lw      a3,-20(s0/fp)
PC=000001F8 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000001FC [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000200 [00A60733] X14=00000002 X12=00000001 X10=00000001 add     a4,a2,a0
PC=00000204 [00070813] X16=00000002 X14=00000002 X00=00000000 addi    a6,a4,0
PC=00000208 [00C83833] X16=00000000 X16=00000002 X12=00000001 sltu    a6,a6,a2
PC=0000020C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000210 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000214 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000218 [FEE42423] X08=00500000 X08=00500000 X14=00000002 sw      a4,-24(s0/fp)
PC=0000021C [FEF42623] X12=00000001 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000220 [FE744783] X15=00000003 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000224 [FFF78713] X14=00000002 X15=00000003 X31=00000000 addi    a4,a5,-1
PC=00000228 [FEE403A3] X07=00000000 X08=00500000 X14=00000002 sb      a4,-25(s0/fp)
PC=000001F0 [FC0792E3] X05=00000000 X15=00000003 X00=00000000 bne     a5,zero,-60
PC=000001F0 [FE842603] X12=00000002 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000001F4 [FEC42683] X13=00000000 X08=00500000 X12=00000002 lw      a3,-20(s0/fp)
PC=000001F8 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000001FC [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000200 [00A60733] X14=00000003 X12=00000002 X10=00000001 add     a4,a2,a0
PC=00000204 [00070813] X16=00000003 X14=00000003 X00=00000000 addi    a6,a4,0
PC=00000208 [00C83833] X16=00000000 X16=00000003 X12=00000002 sltu    a6,a6,a2
PC=0000020C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000210 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000214 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000218 [FEE42423] X08=00500000 X08=00500000 X14=00000003 sw      a4,-24(s0/fp)
PC=0000021C [FEF42623] X12=00000002 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000220 [FE744783] X15=00000002 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000224 [FFF78713] X14=00000001 X15=00000002 X31=00000000 addi    a4,a5,-1
PC=00000228 [FEE403A3] X07=00000000 X08=00500000 X14=00000001 sb      a4,-25(s0/fp)
PC=000001F0 [FC0792E3] X05=00000000 X15=00000002 X00=00000000 bne     a5,zero,-60
PC=000001F0 [FE842603] X12=00000003 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000001F4 [FEC42683] X13=00000000 X08=00500000 X12=00000003 lw      a3,-20(s0/fp)
PC=000001F8 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000001FC [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000200 [00A60733] X14=00000004 X12=00000003 X10=00000001 add     a4,a2,a0
PC=00000204 [00070813] X16=00000004 X14=00000004 X00=00000000 addi    a6,a4,0
PC=00000208 [00C83833] X16=00000000 X16=00000004 X12=00000003 sltu    a6,a6,a2
PC=0000020C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000210 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000214 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000218 [FEE42423] X08=00500000 X08=00500000 X14=00000004 sw      a4,-24(s0/fp)
PC=0000021C [FEF42623] X12=00000003 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000220 [FE744783] X15=00000001 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000224 [FFF78713] X14=00000000 X15=00000001 X31=00000000 addi    a4,a5,-1
PC=00000228 [FEE403A3] X07=00000000 X08=00500000 X14=00000000 sb      a4,-25(s0/fp)
PC=000001F0 [FC0792E3] X05=00000000 X15=00000001 X00=00000000 bne     a5,zero,-60
PC=000001F0 [FE842603] X12=00000004 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000001F4 [FEC42683] X13=00000000 X08=00500000 X12=00000004 lw      a3,-20(s0/fp)
PC=000001F8 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000001FC [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000200 [00A60733] X14=00000005 X12=00000004 X10=00000001 add     a4,a2,a0
PC=00000204 [00070813] X16=00000005 X14=00000005 X00=00000000 addi    a6,a4,0
PC=00000208 [00C83833] X16=00000000 X16=00000005 X12=00000004 sltu    a6,a6,a2
PC=0000020C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000210 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000214 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000218 [FEE42423] X08=00500000 X08=00500000 X14=00000005 sw      a4,-24(s0/fp)
PC=0000021C [FEF42623] X12=00000004 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000220 [FE744783] X15=00000000 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000224 [FFF78713] X14=FFFFFFFF X15=00000000 X31=00000000 addi    a4,a5,-1
PC=00000228 [FEE403A3] X07=00000000 X08=00500000 X14=FFFFFFFF sb      a4,-25(s0/fp)
PC=00000230 [FC0792E3] X05=00000000 X15=00000000 X00=00000000 bne     a5,zero,-60
PC=00000230 [FE0403A3] X07=00000000 X08=00500000 X00=00000000 sb      zero,-25(s0/fp)
PC=00000234 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=00000238 [FEF40323] X06=00000000 X08=00500000 X15=00000005 sb      a5,-26(s0/fp)
PC=0000023C [0340006F] X00=00000000 X00=00000000 X20=00000000 jal     zero,52
PC=00000270 [FE640783] X15=00000005 X08=00500000 X06=00000000 lb      a5,-26(s0/fp)
PC=00000274 [0FF7F713] X14=00000005 X15=00000005 X31=00000000 andi    a4,a5,255
PC=00000278 [FFF70713] X14=00000004 X14=00000005 X31=00000000 addi    a4,a4,-1
PC=0000027C [0FF77713] X14=00000004 X14=00000004 X31=00000000 andi    a4,a4,255
PC=00000280 [FEE40323] X06=00000000 X08=00500000 X14=00000004 sb      a4,-26(s0/fp)
PC=00000240 [FA079EE3] X29=00000000 X15=00000005 X00=00000000 bne     a5,zero,-68
PC=00000240 [FE842603] X12=00000005 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=00000244 [FEC42683] X13=00000000 X08=00500000 X12=00000005 lw      a3,-20(s0/fp)
PC=00000248 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=0000024C [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000250 [00A60733] X14=00000006 X12=00000005 X10=00000001 add     a4,a2,a0
PC=00000254 [00070813] X16=00000006 X14=00000006 X00=00000000 addi    a6,a4,0
PC=00000258 [00C83833] X16=00000000 X16=00000006 X12=00000005 sltu    a6,a6,a2
PC=0000025C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000260 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000264 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000268 [FEE42423] X08=00500000 X08=00500000 X14=00000006 sw      a4,-24(s0/fp)
PC=0000026C [FEF42623] X12=00000005 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000270 [FE640783] X15=00000004 X08=00500000 X06=00000000 lb      a5,-26(s0/fp)
PC=00000274 [0FF7F713] X14=00000004 X15=00000004 X31=00000000 andi    a4,a5,255
PC=00000278 [FFF70713] X14=00000003 X14=00000004 X31=00000000 addi    a4,a4,-1
PC=0000027C [0FF77713] X14=00000003 X14=00000003 X31=00000000 andi    a4,a4,255
PC=00000280 [FEE40323] X06=00000000 X08=00500000 X14=00000003 sb      a4,-26(s0/fp)
PC=00000240 [FA079EE3] X29=00000000 X15=00000004 X00=00000000 bne     a5,zero,-68
PC=00000240 [FE842603] X12=00000006 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=00000244 [FEC42683] X13=00000000 X08=00500000 X12=00000006 lw      a3,-20(s0/fp)
PC=00000248 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=0000024C [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000250 [00A60733] X14=00000007 X12=00000006 X10=00000001 add     a4,a2,a0
PC=00000254 [00070813] X16=00000007 X14=00000007 X00=00000000 addi    a6,a4,0
PC=00000258 [00C83833] X16=00000000 X16=00000007 X12=00000006 sltu    a6,a6,a2
PC=0000025C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000260 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000264 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000268 [FEE42423] X08=00500000 X08=00500000 X14=00000007 sw      a4,-24(s0/fp)
PC=0000026C [FEF42623] X12=00000006 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000270 [FE640783] X15=00000003 X08=00500000 X06=00000000 lb      a5,-26(s0/fp)
PC=00000274 [0FF7F713] X14=00000003 X15=00000003 X31=00000000 andi    a4,a5,255
PC=00000278 [FFF70713] X14=00000002 X14=00000003 X31=00000000 addi    a4,a4,-1
PC=0000027C [0FF77713] X14=00000002 X14=00000002 X31=00000000 andi    a4,a4,255
PC=00000280 [FEE40323] X06=00000000 X08=00500000 X14=00000002 sb      a4,-26(s0/fp)
PC=00000240 [FA079EE3] X29=00000000 X15=00000003 X00=00000000 bne     a5,zero,-68
PC=00000240 [FE842603] X12=00000007 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=00000244 [FEC42683] X13=00000000 X08=00500000 X12=00000007 lw      a3,-20(s0/fp)
PC=00000248 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=0000024C [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
