PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00112E23] X28=00000000 X02=004FFFE0 X01=000001C0 sw      ra,28(sp)
PC=000001D0 [00812C23] X24=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,24(sp)
PC=000001D4 [01212A23] X20=00000000 X02=004FFFE0 X18=00000000 sw      s2,20(sp)
PC=000001D8 [01312823] X16=00000000 X02=004FFFE0 X19=00000000 sw      s3,16(sp)
PC=000001DC [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001E0 [01900513] X10=00000019 X00=00000000 X25=00000000 addi    a0,zero,25
PC=000001E4 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000001E8 [068000EF] X01=000001EC X00=00000000 X08=00500000 jal     ra,104
PC=00000250 [FE010113] X02=004FFFC0 X02=004FFFE0 X00=00000000 addi    sp,sp,-32
PC=00000254 [00112E23] X28=00000000 X02=004FFFC0 X01=000001EC sw      ra,28(sp)
PC=00000258 [00812C23] X24=00000000 X02=004FFFC0 X08=00500000 sw      s0/fp,24(sp)
PC=0000025C [01212A23] X20=00000000 X02=004FFFC0 X18=00000000 sw      s2,20(sp)
PC=00000260 [01312823] X16=00000000 X02=004FFFC0 X19=00000000 sw      s3,16(sp)
PC=00000264 [02010413] X08=004FFFE0 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,32
PC=00000268 [FEA42423] X08=004FFFE0 X08=004FFFE0 X10=00000019 sw      a0,-24(s0/fp)
PC=0000026C [FEB42623] X12=00000000 X08=004FFFE0 X11=00000000 sw      a1,-20(s0/fp)
PC=00000270 [FEC42783] X15=00000000 X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=00000278 [00079C63] X24=00000000 X15=00000000 X00=00000000 bne     a5,zero,24
PC=00000278 [FEC42783] X15=00000000 X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=00000280 [08079263] X04=00000000 X15=00000000 X00=00000000 bne     a5,zero,132
PC=00000280 [FE842703] X14=00000019 X08=004FFFE0 X08=004FFFE0 lw      a4,-24(s0/fp)
PC=00000284 [00100793] X15=00000001 X00=00000000 X01=000001EC addi    a5,zero,1
PC=0000028C [06E7FC63] X24=00000000 X15=00000001 X14=00000019 bgeu    a5,a4,120
PC=0000028C [FE842703] X14=00000019 X08=004FFFE0 X08=004FFFE0 lw      a4,-24(s0/fp)
PC=00000290 [FEC42783] X15=00000000 X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=00000294 [FFF00513] X10=FFFFFFFF X00=00000000 X31=00000000 addi    a0,zero,-1
PC=00000298 [FFF00593] X11=FFFFFFFF X00=00000000 X31=00000000 addi    a1,zero,-1
PC=0000029C [00A70633] X12=00000018 X14=00000019 X10=FFFFFFFF add     a2,a4,a0
PC=000002A0 [00060813] X16=00000018 X12=00000018 X00=00000000 addi    a6,a2,0
PC=000002A4 [00E83833] X16=00000001 X16=00000018 X14=00000019 sltu    a6,a6,a4
PC=000002A8 [00B786B3] X13=FFFFFFFF X15=00000000 X11=FFFFFFFF add     a3,a5,a1
PC=000002AC [00D807B3] X15=00000000 X16=00000001 X13=FFFFFFFF add     a5,a6,a3
PC=000002B0 [00078693] X13=00000000 X15=00000000 X00=00000000 addi    a3,a5,0
PC=000002B4 [00060713] X14=00000018 X12=00000018 X00=00000000 addi    a4,a2,0
PC=000002B8 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002BC [00070513] X10=00000018 X14=00000018 X00=00000000 addi    a0,a4,0
PC=000002C0 [00078593] X11=00000000 X15=00000000 X00=00000000 addi    a1,a5,0
PC=000002C4 [F8DFF0EF] X01=000002C8 X31=00000000 X13=00000000 jal     ra,-116
PC=00000250 [FE010113] X02=004FFFA0 X02=004FFFC0 X00=00000000 addi    sp,sp,-32
PC=00000254 [00112E23] X28=00000000 X02=004FFFA0 X01=000002C8 sw      ra,28(sp)
PC=00000258 [00812C23] X24=00000000 X02=004FFFA0 X08=004FFFE0 sw      s0/fp,24(sp)
PC=0000025C [01212A23] X20=00000000 X02=004FFFA0 X18=00000000 sw      s2,20(sp)
PC=00000260 [01312823] X16=00000001 X02=004FFFA0 X19=00000000 sw      s3,16(sp)
PC=00000264 [02010413] X08=004FFFC0 X02=004FFFA0 X00=00000000 addi    s0/fp,sp,32
PC=00000268 [FEA42423] X08=004FFFC0 X08=004FFFC0 X10=00000018 sw      a0,-24(s0/fp)
PC=0000026C [FEB42623] X12=00000018 X08=004FFFC0 X11=00000000 sw      a1,-20(s0/fp)
PC=00000270 [FEC42783] X15=00000000 X08=004FFFC0 X12=00000018 lw      a5,-20(s0/fp)
PC=00000278 [00079C63] X24=00000000 X15=00000000 X00=00000000 bne     a5,zero,24
PC=00000278 [FEC42783] X15=00000000 X08=004FFFC0 X12=00000018 lw      a5,-20(s0/fp)
PC=00000280 [08079263] X04=00000000 X15=00000000 X00=00000000 bne     a5,zero,132
PC=00000280 [FE842703] X14=00000018 X08=004FFFC0 X08=004FFFC0 lw      a4,-24(s0/fp)
PC=00000284 [00100793] X15=00000001 X00=00000000 X01=000002C8 addi    a5,zero,1
PC=0000028C [06E7FC63] X24=00000000 X15=00000001 X14=00000018 bgeu    a5,a4,120
PC=0000028C [FE842703] X14=00000018 X08=004FFFC0 X08=004FFFC0 lw      a4,-24(s0/fp)
PC=00000290 [FEC42783] X15=00000000 X08=004FFFC0 X12=00000018 lw      a5,-20(s0/fp)
PC=00000294 [FFF00513] X10=FFFFFFFF X00=00000000 X31=00000000 addi    a0,zero,-1
PC=00000298 [FFF00593] X11=FFFFFFFF X00=00000000 X31=00000000 addi    a1,zero,-1
PC=0000029C [00A70633] X12=00000017 X14=00000018 X10=FFFFFFFF add     a2,a4,a0
PC=000002A0 [00060813] X16=00000017 X12=00000017 X00=00000000 addi    a6,a2,0
PC=000002A4 [00E83833] X16=00000001 X16=00000017 X14=00000018 sltu    a6,a6,a4
PC=000002A8 [00B786B3] X13=FFFFFFFF X15=00000000 X11=FFFFFFFF add     a3,a5,a1
PC=000002AC [00D807B3] X15=00000000 X16=00000001 X13=FFFFFFFF add     a5,a6,a3
PC=000002B0 [00078693] X13=00000000 X15=00000000 X00=00000000 addi    a3,a5,0
PC=000002B4 [00060713] X14=00000017 X12=00000017 X00=00000000 addi    a4,a2,0
PC=000002B8 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002BC [00070513] X10=00000017 X14=00000017 X00=00000000 addi    a0,a4,0
PC=000002C0 [00078593] X11=00000000 X15=00000000 X00=00000000 addi    a1,a5,0
PC=000002C4 [F8DFF0EF] X01=000002C8 X31=00000000 X13=00000000 jal     ra,-116
PC=00000250 [FE010113] X02=004FFF80 X02=004FFFA0 X00=00000000 addi    sp,sp,-32
PC=00000254 [00112E23] X28=00000000 X02=004FFF80 X01=000002C8 sw      ra,28(sp)
PC=00000258 [00812C23] X24=00000000 X02=004FFF80 X08=004FFFC0 sw      s0/fp,24(sp)
PC=0000025C [01212A23] X20=00000000 X02=004FFF80 X18=00000000 sw      s2,20(sp)
PC=00000260 [01312823] X16=00000001 X02=004FFF80 X19=00000000 sw      s3,16(sp)
