PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FB010113] X02=004FFFB0 X02=00500000 X16=00000000 addi    sp,sp,-80
PC=000001CC [04112623] X12=00000000 X02=004FFFB0 X01=000001C0 sw      ra,76(sp)
PC=000001D0 [04812423] X08=00000000 X02=004FFFB0 X08=00000000 sw      s0/fp,72(sp)
PC=000001D4 [05010413] X08=00500000 X02=004FFFB0 X16=00000000 addi    s0/fp,sp,80
PC=000001D8 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001DC [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000001E0 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000001E4 [FDF00793] X15=FFFFFFDF X00=00000000 X31=00000000 addi    a5,zero,-33
PC=000001E8 [FCF40623] X12=00000000 X08=00500000 X15=FFFFFFDF sb      a5,-52(s0/fp)
PC=000001EC [04400793] X15=00000044 X00=00000000 X04=00000000 addi    a5,zero,68
PC=000001F0 [FCF406A3] X13=00000000 X08=00500000 X15=00000044 sb      a5,-51(s0/fp)
PC=000001F4 [01200793] X15=00000012 X00=00000000 X18=00000000 addi    a5,zero,18
PC=000001F8 [FCF40723] X14=00000000 X08=00500000 X15=00000012 sb      a5,-50(s0/fp)
PC=000001FC [04500793] X15=00000045 X00=00000000 X05=00000000 addi    a5,zero,69
PC=00000200 [FCF407A3] X15=00000045 X08=00500000 X15=00000045 sb      a5,-49(s0/fp)
PC=00000204 [F8000793] X15=FFFFFF80 X00=00000000 X00=00000000 addi    a5,zero,-128
PC=00000208 [FCF40823] X16=00000000 X08=00500000 X15=FFFFFF80 sb      a5,-48(s0/fp)
PC=0000020C [FDD00793] X15=FFFFFFDD X00=00000000 X29=00000000 addi    a5,zero,-35
PC=00000210 [FCF408A3] X17=00000000 X08=00500000 X15=FFFFFFDD sb      a5,-47(s0/fp)
PC=00000214 [04300793] X15=00000043 X00=00000000 X03=00000000 addi    a5,zero,67
PC=00000218 [FCF40923] X18=00000000 X08=00500000 X15=00000043 sb      a5,-46(s0/fp)
PC=0000021C [06700793] X15=00000067 X00=00000000 X07=00000000 addi    a5,zero,103
PC=00000220 [FCF409A3] X19=00000000 X08=00500000 X15=00000067 sb      a5,-45(s0/fp)
PC=00000224 [FC040A23] X20=00000000 X08=00500000 X00=00000000 sb      zero,-44(s0/fp)
PC=00000228 [02300793] X15=00000023 X00=00000000 X03=00000000 addi    a5,zero,35
PC=0000022C [FCF40AA3] X21=00000000 X08=00500000 X15=00000023 sb      a5,-43(s0/fp)
PC=00000230 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000234 [FCF40B23] X22=00000000 X08=00500000 X15=00000001 sb      a5,-42(s0/fp)
PC=00000238 [FF700793] X15=FFFFFFF7 X00=00000000 X23=00000000 addi    a5,zero,-9
PC=0000023C [FCF40BA3] X23=00000000 X08=00500000 X15=FFFFFFF7 sb      a5,-41(s0/fp)
PC=00000240 [04500793] X15=00000045 X00=00000000 X05=00000000 addi    a5,zero,69
PC=00000244 [FCF40C23] X24=00000000 X08=00500000 X15=00000045 sb      a5,-40(s0/fp)
PC=00000248 [F8600793] X15=FFFFFF86 X00=00000000 X06=00000000 addi    a5,zero,-122
PC=0000024C [FCF40CA3] X25=00000000 X08=00500000 X15=FFFFFF86 sb      a5,-39(s0/fp)
PC=00000250 [F9600793] X15=FFFFFF96 X00=00000000 X22=00000000 addi    a5,zero,-106
PC=00000254 [FCF40D23] X26=00000000 X08=00500000 X15=FFFFFF96 sb      a5,-38(s0/fp)
PC=00000258 [05200793] X15=00000052 X00=00000000 X18=00000000 addi    a5,zero,82
PC=0000025C [FCF40DA3] X27=00000000 X08=00500000 X15=00000052 sb      a5,-37(s0/fp)
PC=00000260 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000264 [FCF40E23] X28=00000000 X08=00500000 X15=FFFFFFFF sb      a5,-36(s0/fp)
PC=00000268 [05600793] X15=00000056 X00=00000000 X22=00000000 addi    a5,zero,86
PC=0000026C [FCF40EA3] X29=00000000 X08=00500000 X15=00000056 sb      a5,-35(s0/fp)
PC=00000270 [02300793] X15=00000023 X00=00000000 X03=00000000 addi    a5,zero,35
PC=00000274 [FCF40F23] X30=00000000 X08=00500000 X15=00000023 sb      a5,-34(s0/fp)
PC=00000278 [01000793] X15=00000010 X00=00000000 X16=00000000 addi    a5,zero,16
PC=0000027C [FCF40FA3] X31=00000000 X08=00500000 X15=00000010 sb      a5,-33(s0/fp)
PC=00000280 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=00000284 [FEF40023] X00=00000000 X08=00500000 X15=00000005 sb      a5,-32(s0/fp)
PC=00000288 [FDF00793] X15=FFFFFFDF X00=00000000 X31=00000000 addi    a5,zero,-33
PC=0000028C [FAF40A23] X20=00000000 X08=00500000 X15=FFFFFFDF sb      a5,-76(s0/fp)
PC=00000290 [04400793] X15=00000044 X00=00000000 X04=00000000 addi    a5,zero,68
PC=00000294 [FAF40AA3] X21=00000000 X08=00500000 X15=00000044 sb      a5,-75(s0/fp)
PC=00000298 [01200793] X15=00000012 X00=00000000 X18=00000000 addi    a5,zero,18
PC=0000029C [FAF40B23] X22=00000000 X08=00500000 X15=00000012 sb      a5,-74(s0/fp)
PC=000002A0 [04500793] X15=00000045 X00=00000000 X05=00000000 addi    a5,zero,69
PC=000002A4 [FAF40BA3] X23=00000000 X08=00500000 X15=00000045 sb      a5,-73(s0/fp)
PC=000002A8 [F8000793] X15=FFFFFF80 X00=00000000 X00=00000000 addi    a5,zero,-128
PC=000002AC [FAF40C23] X24=00000000 X08=00500000 X15=FFFFFF80 sb      a5,-72(s0/fp)
PC=000002B0 [FDD00793] X15=FFFFFFDD X00=00000000 X29=00000000 addi    a5,zero,-35
PC=000002B4 [FAF40CA3] X25=00000000 X08=00500000 X15=FFFFFFDD sb      a5,-71(s0/fp)
PC=000002B8 [04300793] X15=00000043 X00=00000000 X03=00000000 addi    a5,zero,67
PC=000002BC [FAF40D23] X26=00000000 X08=00500000 X15=00000043 sb      a5,-70(s0/fp)
PC=000002C0 [06700793] X15=00000067 X00=00000000 X07=00000000 addi    a5,zero,103
PC=000002C4 [FAF40DA3] X27=00000000 X08=00500000 X15=00000067 sb      a5,-69(s0/fp)
PC=000002C8 [FA040E23] X28=00000000 X08=00500000 X00=00000000 sb      zero,-68(s0/fp)
PC=000002CC [02300793] X15=00000023 X00=00000000 X03=00000000 addi    a5,zero,35
PC=000002D0 [FAF40EA3] X29=00000000 X08=00500000 X15=00000023 sb      a5,-67(s0/fp)
PC=000002D4 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000002D8 [FAF40F23] X30=00000000 X08=00500000 X15=00000001 sb      a5,-66(s0/fp)
PC=000002DC [FF700793] X15=FFFFFFF7 X00=00000000 X23=00000000 addi    a5,zero,-9
PC=000002E0 [FAF40FA3] X31=00000000 X08=00500000 X15=FFFFFFF7 sb      a5,-65(s0/fp)
PC=000002E4 [04500793] X15=00000045 X00=00000000 X05=00000000 addi    a5,zero,69
