                                     | Core 0    
  Instructions                       |   43487004
  Cycles                             |   19613244
  IPC                                |       2.22
  Time (ns)                          |    7373400
  Idle time (ns)                     |       2065
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    4638742
  num incorrect                      |      57747
  misprediction rate                 |      1.23%
  mpki                               |       1.33
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4287867
    num misses                       |        158
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   14619073
    num misses                       |       2933
    miss rate                        |      0.02%
    mpki                             |       0.07
  L2 TLB                             |           
    num accesses                     |       3091
    num misses                       |       1224
    miss rate                        |     39.60%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4287867
    num cache misses                 |       5693
    miss rate                        |      0.13%
    mpki                             |       0.13
  Cache L1-D                         |           
    num cache accesses               |   14619073
    num cache misses                 |     198048
    miss rate                        |      1.35%
    mpki                             |       4.55
  Cache L2                           |           
    num cache accesses               |     203821
    num cache misses                 |     114870
    miss rate                        |     56.36%
    mpki                             |       2.64
  Cache L3                           |           
    num cache accesses               |     115031
    num cache misses                 |      41817
    miss rate                        |     36.35%
    mpki                             |       0.96
DRAM summary                         |           
  num dram accesses                  |      41816
  average dram access latency (ns)   |      56.59
  average dram queueing delay        |       3.16
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |      11106
  num loads from dram cache          |          0
  num loads from remote cache        |          0
