                                     | Core 0    
  Instructions                       |   46726412
  Cycles                             |  104566728
  IPC                                |       0.45
  Time (ns)                          |   39310800
  Idle time (ns)                     |        132
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1369605
  num incorrect                      |       3373
  misprediction rate                 |      0.25%
  mpki                               |       0.07
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    3705548
    num misses                       |        107
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    4830459
    num misses                       |     390219
    miss rate                        |      8.08%
    mpki                             |       8.35
  L2 TLB                             |           
    num accesses                     |     390326
    num misses                       |      21726
    miss rate                        |      5.57%
    mpki                             |       0.46
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    3705548
    num cache misses                 |       1882
    miss rate                        |      0.05%
    mpki                             |       0.04
  Cache L1-D                         |           
    num cache accesses               |    4830459
    num cache misses                 |     294368
    miss rate                        |      6.09%
    mpki                             |       6.30
  Cache L2                           |           
    num cache accesses               |     296310
    num cache misses                 |     122748
    miss rate                        |     41.43%
    mpki                             |       2.63
  Cache L3                           |           
    num cache accesses               |     122817
    num cache misses                 |      37694
    miss rate                        |     30.69%
    mpki                             |       0.81
DRAM summary                         |           
  num dram accesses                  |      37693
  average dram access latency (ns)   |     126.06
  average dram queueing delay        |      72.63
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12355
  num loads from dram cache          |          0
  num loads from remote cache        |          0
